JOBID=28562
Size, Timepoint Index, Time
8K, End, 12, 1.8191e-05
8K, End, 13, 1.8573e-05
8K, End, 14, 2.6404e-05
8K, End, 15, 1.8029e-05
8K, End, 16, 1.8466e-05
8K, End, 17, 1.8117e-05
8K, End, 18, 1.7245e-05
8K, End, 19, 2.3212e-05
8K, End, 20, 2.4855e-05
8K, End, 21, 1.8341e-05
8K, End, 22, 3.3942e-05
8K, End, 23, 2.0029e-05
8K, End, 24, 1.7688e-05
8K, End, 25, 1.8376e-05
8K, End, 26, 1.8584e-05
8K, End, 27, 1.8849e-05
8K, End, 28, 2.0884e-05
8K, End, 29, 1.8247e-05
8K, End, 30, 1.7483e-05
8K, End, 31, 1.8519e-05
8K, End, 32, 1.8067e-05
8K, End, 33, 1.8558e-05
8K, End, 34, 1.7979e-05
8K, End, 35, 1.8061e-05
8K, End, 36, 1.7852e-05
8K, End, 37, 1.8448e-05
8K, End, 38, 1.7765e-05
8K, End, 39, 1.8381e-05
8K, End, 40, 1.7682e-05
8K, End, 41, 1.83e-05
8K, End, 42, 1.9127e-05
8K, End, 43, 1.8244e-05
8K, End, 44, 1.9713e-05
8K, End, 45, 1.8295e-05
8K, End, 46, 1.755e-05
8K, End, 47, 1.8131e-05
8K, End, 48, 1.8714e-05
8K, End, 49, 1.7661e-05
8K, End, 50, 2.3941e-05
8K, End, 51, 1.6959e-05
8K, End, 52, 1.6495e-05
8K, End, 53, 1.6507e-05
8K, End, 54, 1.6348e-05
8K, End, 55, 1.6349e-05
8K, End, 56, 1.6182e-05
8K, End, 57, 1.6537e-05
8K, End, 58, 1.6205e-05
8K, End, 59, 1.6214e-05
8K, End, 60, 1.6287e-05
8K, End, 61, 1.5876e-05
8K, End, 62, 1.5837e-05
8K, End, 63, 1.6023e-05
8K, End, 64, 1.7054e-05
8K, End, 65, 1.6206e-05
8K, End, 66, 1.5948e-05
8K, End, 67, 1.5742e-05
8K, End, 68, 1.6077e-05
8K, End, 69, 1.5848e-05
8K, End, 70, 1.597e-05
8K, End, 71, 1.6171e-05
8K, End, 72, 1.6527e-05
8K, End, 73, 1.6239e-05
8K, End, 74, 1.5764e-05
8K, End, 75, 1.6521e-05
8K, End, 76, 1.6115e-05
8K, End, 77, 1.6859e-05
8K, End, 78, 1.6437e-05
8K, End, 79, 1.6039e-05
8K, End, 80, 1.6226e-05
8K, End, 81, 1.5964e-05
8K, End, 82, 1.6594e-05
8K, End, 83, 1.6499e-05
8K, End, 84, 1.7188e-05
8K, End, 85, 1.604e-05
8K, End, 86, 1.5538e-05
8K, End, 87, 1.6089e-05
8K, End, 88, 3.6787e-05
8K, End, 89, 1.5658e-05
8K, End, 90, 1.6086e-05
8K, End, 91, 1.7147e-05
8K, End, 92, 1.6654e-05
8K, End, 93, 1.6038e-05
8K, End, 94, 1.6296e-05
8K, End, 95, 1.6297e-05
8K, End, 96, 1.688e-05
8K, End, 97, 1.6376e-05
8K, End, 98, 1.6422e-05
8K, End, 99, 1.6284e-05
8K, End, 100, 1.6338e-05
16K, End, 1, 3.0713e-05
16K, End, 2, 2.602e-05
16K, End, 3, 2.5639e-05
16K, End, 4, 2.5086e-05
16K, End, 5, 2.5837e-05
16K, End, 6, 2.7278e-05
16K, End, 7, 2.6138e-05
16K, End, 8, 2.5767e-05
16K, End, 9, 2.5615e-05
16K, End, 10, 2.6792e-05
16K, End, 11, 2.5126e-05
16K, End, 12, 2.5609e-05
16K, End, 13, 2.5814e-05
16K, End, 14, 2.5419e-05
16K, End, 15, 2.5593e-05
16K, End, 16, 2.5579e-05
16K, End, 17, 2.5572e-05
16K, End, 18, 2.4766e-05
16K, End, 19, 2.5856e-05
16K, End, 20, 2.5964e-05
16K, End, 21, 2.5909e-05
16K, End, 22, 2.5755e-05
16K, End, 23, 2.5199e-05
16K, End, 24, 2.442e-05
16K, End, 25, 3.0803e-05
16K, End, 26, 2.6128e-05
16K, End, 27, 3.0662e-05
16K, End, 28, 2.7028e-05
16K, End, 29, 2.5629e-05
16K, End, 30, 2.5296e-05
16K, End, 31, 2.5433e-05
16K, End, 32, 2.7044e-05
16K, End, 33, 3.2498e-05
16K, End, 34, 2.5838e-05
16K, End, 35, 2.5144e-05
16K, End, 36, 2.585e-05
16K, End, 37, 2.5564e-05
16K, End, 38, 2.8525e-05
16K, End, 39, 2.6219e-05
16K, End, 40, 2.5683e-05
16K, End, 41, 2.5889e-05
16K, End, 42, 2.5629e-05
16K, End, 43, 2.471e-05
16K, End, 44, 3.5121e-05
16K, End, 45, 2.5483e-05
16K, End, 46, 2.5544e-05
16K, End, 47, 2.5286e-05
16K, End, 48, 2.4815e-05
16K, End, 49, 2.6797e-05
16K, End, 50, 2.6091e-05
16K, End, 51, 2.6958e-05
16K, End, 52, 2.5681e-05
16K, End, 53, 2.8701e-05
16K, End, 54, 2.6987e-05
16K, End, 55, 2.6113e-05
16K, End, 56, 2.4952e-05
16K, End, 57, 2.5855e-05
16K, End, 58, 2.6597e-05
16K, End, 59, 2.528e-05
16K, End, 60, 2.6003e-05
16K, End, 61, 2.9212e-05
16K, End, 62, 2.5465e-05
16K, End, 63, 2.8941e-05
16K, End, 64, 2.6221e-05
16K, End, 65, 2.516e-05
16K, End, 66, 2.6227e-05
16K, End, 67, 2.5009e-05
16K, End, 68, 2.4924e-05
16K, End, 69, 2.5732e-05
16K, End, 70, 2.5677e-05
16K, End, 71, 2.5671e-05
16K, End, 72, 2.6206e-05
16K, End, 73, 2.4859e-05
16K, End, 74, 2.5022e-05
16K, End, 75, 2.7791e-05
16K, End, 76, 3.3136e-05
16K, End, 77, 2.538e-05
16K, End, 78, 2.4736e-05
16K, End, 79, 2.5125e-05
16K, End, 80, 2.5743e-05
16K, End, 81, 2.5155e-05
16K, End, 82, 2.5106e-05
16K, End, 83, 2.5311e-05
16K, End, 84, 2.5214e-05
16K, End, 85, 2.4774e-05
16K, End, 86, 2.5193e-05
16K, End, 87, 2.6381e-05
16K, End, 88, 2.5745e-05
16K, End, 89, 2.5243e-05
16K, End, 90, 2.4953e-05
16K, End, 91, 3.5989e-05
16K, End, 92, 2.3094e-05
16K, End, 93, 2.3311e-05
16K, End, 94, 2.3873e-05
16K, End, 95, 2.331e-05
16K, End, 96, 2.3476e-05
16K, End, 97, 2.4092e-05
16K, End, 98, 2.3745e-05
16K, End, 99, 2.2969e-05
16K, End, 100, 2.4066e-05
32K, End, 1, 4.5142e-05
32K, End, 2, 4.5019e-05
32K, End, 3, 4.4608e-05
32K, End, 4, 4.4867e-05
32K, End, 5, 4.5728e-05
32K, End, 6, 4.6585e-05
32K, End, 7, 4.4472e-05
32K, End, 8, 4.4812e-05
32K, End, 9, 4.5018e-05
32K, End, 10, 4.5366e-05
32K, End, 11, 4.5502e-05
32K, End, 12, 4.5535e-05
32K, End, 13, 4.5317e-05
32K, End, 14, 4.4605e-05
32K, End, 15, 4.5215e-05
32K, End, 16, 4.4698e-05
32K, End, 17, 4.4568e-05
32K, End, 18, 4.4551e-05
32K, End, 19, 4.4745e-05
32K, End, 20, 4.4847e-05
32K, End, 21, 4.5142e-05
32K, End, 22, 4.4353e-05
32K, End, 23, 4.4444e-05
32K, End, 24, 4.4723e-05
32K, End, 25, 4.4946e-05
32K, End, 26, 4.4766e-05
32K, End, 27, 4.5048e-05
32K, End, 28, 4.4937e-05
32K, End, 29, 4.5691e-05
32K, End, 30, 4.4883e-05
32K, End, 31, 4.4922e-05
32K, End, 32, 4.4815e-05
32K, End, 33, 4.5553e-05
32K, End, 34, 4.5198e-05
32K, End, 35, 4.5328e-05
32K, End, 36, 4.5744e-05
32K, End, 37, 4.5122e-05
32K, End, 38, 4.4602e-05
32K, End, 39, 4.4791e-05
32K, End, 40, 4.845e-05
32K, End, 41, 4.3579e-05
32K, End, 42, 4.3353e-05
32K, End, 43, 4.2799e-05
32K, End, 44, 4.288e-05
32K, End, 45, 4.3745e-05
32K, End, 46, 4.3206e-05
32K, End, 47, 4.3714e-05
32K, End, 48, 4.4115e-05
32K, End, 49, 4.3302e-05
32K, End, 50, 4.3968e-05
32K, End, 51, 4.3775e-05
32K, End, 52, 4.3491e-05
32K, End, 53, 4.3711e-05
32K, End, 54, 4.3519e-05
32K, End, 55, 4.4571e-05
32K, End, 56, 4.4043e-05
32K, End, 57, 4.3376e-05
32K, End, 58, 4.3574e-05
32K, End, 59, 4.3976e-05
32K, End, 60, 4.387e-05
32K, End, 61, 4.2597e-05
32K, End, 62, 5.0936e-05
32K, End, 63, 4.3275e-05
32K, End, 64, 4.3612e-05
32K, End, 65, 4.3405e-05
32K, End, 66, 4.299e-05
32K, End, 67, 4.3026e-05
32K, End, 68, 4.283e-05
32K, End, 69, 4.2682e-05
32K, End, 70, 4.2886e-05
32K, End, 71, 4.327e-05
32K, End, 72, 4.2911e-05
32K, End, 73, 4.4066e-05
32K, End, 74, 4.3399e-05
32K, End, 75, 4.3667e-05
32K, End, 76, 4.6565e-05
32K, End, 77, 4.3465e-05
32K, End, 78, 4.3684e-05
32K, End, 79, 4.3762e-05
32K, End, 80, 4.4099e-05
32K, End, 81, 4.3681e-05
32K, End, 82, 4.3472e-05
32K, End, 83, 4.2541e-05
32K, End, 84, 4.2473e-05
32K, End, 85, 4.2876e-05
32K, End, 86, 4.2939e-05
32K, End, 87, 4.3114e-05
32K, End, 88, 4.3012e-05
32K, End, 89, 4.295e-05
32K, End, 90, 4.3113e-05
32K, End, 91, 4.3288e-05
32K, End, 92, 4.3262e-05
32K, End, 93, 4.3646e-05
32K, End, 94, 4.3782e-05
32K, End, 95, 4.3861e-05
32K, End, 96, 4.2651e-05
32K, End, 97, 4.3503e-05
32K, End, 98, 4.3618e-05
32K, End, 99, 4.361e-05
32K, End, 100, 4.3798e-05
64K, End, 1, 8.1632e-05
64K, End, 2, 8.0831e-05
64K, End, 3, 8.1671e-05
64K, End, 4, 8.151e-05
64K, End, 5, 8.0872e-05
64K, End, 6, 8.1754e-05
64K, End, 7, 8.3995e-05
64K, End, 8, 8.0213e-05
64K, End, 9, 8.1538e-05
64K, End, 10, 8.0776e-05
64K, End, 11, 7.9891e-05
64K, End, 12, 7.8541e-05
64K, End, 13, 7.9437e-05
64K, End, 14, 7.9745e-05
64K, End, 15, 7.9562e-05
64K, End, 16, 8.0115e-05
64K, End, 17, 7.9243e-05
64K, End, 18, 8.1108e-05
64K, End, 19, 8.0591e-05
64K, End, 20, 7.8731e-05
64K, End, 21, 7.8455e-05
64K, End, 22, 8.1065e-05
64K, End, 23, 7.9147e-05
64K, End, 24, 8.0297e-05
64K, End, 25, 7.8952e-05
64K, End, 26, 7.9376e-05
64K, End, 27, 6.9155e-05
64K, End, 28, 6.6006e-05
64K, End, 29, 6.6377e-05
64K, End, 30, 6.6486e-05
64K, End, 31, 6.6695e-05
64K, End, 32, 6.6881e-05
64K, End, 33, 6.6808e-05
64K, End, 34, 6.6596e-05
64K, End, 35, 6.8272e-05
64K, End, 36, 6.713e-05
64K, End, 37, 6.6612e-05
64K, End, 38, 6.626e-05
64K, End, 39, 7.6871e-05
64K, End, 40, 6.6845e-05
64K, End, 41, 6.669e-05
64K, End, 42, 6.6764e-05
64K, End, 43, 6.8345e-05
64K, End, 44, 7.0108e-05
64K, End, 45, 6.7956e-05
64K, End, 46, 6.5061e-05
64K, End, 47, 6.9587e-05
64K, End, 48, 6.6376e-05
64K, End, 49, 6.7135e-05
64K, End, 50, 6.7026e-05
64K, End, 51, 7.0779e-05
64K, End, 52, 6.0857e-05
64K, End, 53, 6.2501e-05
64K, End, 54, 6.0922e-05
64K, End, 55, 6.1162e-05
64K, End, 56, 6.0448e-05
64K, End, 57, 6.0489e-05
64K, End, 58, 6.1589e-05
64K, End, 59, 6.1287e-05
64K, End, 60, 6.1421e-05
64K, End, 61, 6.0827e-05
64K, End, 62, 6.0873e-05
64K, End, 63, 6.1116e-05
64K, End, 64, 6.0763e-05
64K, End, 65, 6.068e-05
64K, End, 66, 6.1329e-05
64K, End, 67, 6.2354e-05
64K, End, 68, 6.1444e-05
64K, End, 69, 6.1004e-05
64K, End, 70, 6.1275e-05
64K, End, 71, 6.2137e-05
64K, End, 72, 6.0033e-05
64K, End, 73, 6.0382e-05
64K, End, 74, 6.0521e-05
64K, End, 75, 6.0051e-05
64K, End, 76, 6.1841e-05
64K, End, 77, 6.1151e-05
64K, End, 78, 6.0132e-05
64K, End, 79, 6.11e-05
64K, End, 80, 6.0843e-05
64K, End, 81, 6.3174e-05
64K, End, 82, 6.0855e-05
64K, End, 83, 5.9959e-05
64K, End, 84, 6.1073e-05
