JOBID=28556
Size, Index, Time
32K, End, 57, 0.0990534
32K, End, 58, 0.0987753
32K, End, 59, 0.0990146
32K, End, 60, 0.0990262
32K, End, 61, 0.0990473
32K, End, 62, 0.0990442
32K, End, 63, 0.0989733
32K, End, 64, 0.0988604
32K, End, 65, 0.0988061
32K, End, 66, 0.0988736
32K, End, 67, 0.0992889
32K, End, 68, 0.0989245
32K, End, 69, 0.0990606
32K, End, 70, 0.0985121
32K, End, 71, 0.0987199
32K, End, 72, 0.0988164
32K, End, 73, 0.0989835
32K, End, 74, 0.0990265
32K, End, 75, 0.0986832
32K, End, 76, 0.0989564
32K, End, 77, 0.0986774
32K, End, 78, 0.098759
32K, End, 79, 0.0987878
32K, End, 80, 0.0991577
32K, End, 81, 0.0988828
32K, End, 82, 0.0988656
32K, End, 83, 0.0987742
32K, End, 84, 0.0987205
32K, End, 85, 0.0986903
32K, End, 86, 0.0987917
32K, End, 87, 0.0986028
32K, End, 88, 0.099057
32K, End, 89, 0.0994689
32K, End, 90, 0.0987062
32K, End, 91, 0.0986958
32K, End, 92, 0.0989434
32K, End, 93, 0.0990576
32K, End, 94, 0.0986192
32K, End, 95, 0.0987372
32K, End, 96, 0.0987273
32K, End, 97, 0.098801
32K, End, 98, 0.0989838
32K, End, 99, 0.0990547
32K, End, 100, 0.0990404
