JOBID=28555
Size, Index, Time
16K, End, 51, 0.0428967
16K, End, 52, 0.0428128
16K, End, 53, 0.042875
16K, End, 54, 0.0428054
16K, End, 55, 0.042903
16K, End, 56, 0.0429489
16K, End, 57, 0.0427752
16K, End, 58, 0.0427584
16K, End, 59, 0.042781
16K, End, 60, 0.0430021
16K, End, 61, 0.0427582
16K, End, 62, 0.0427687
16K, End, 63, 0.0432069
16K, End, 64, 0.0428043
16K, End, 65, 0.0430044
16K, End, 66, 0.0427874
16K, End, 67, 0.0427742
16K, End, 68, 0.0430074
16K, End, 69, 0.0431936
16K, End, 70, 0.0427744
16K, End, 71, 0.0428373
16K, End, 72, 0.0429024
16K, End, 73, 0.0427806
16K, End, 74, 0.0428983
16K, End, 75, 0.0428442
16K, End, 76, 0.0429943
16K, End, 77, 0.0428019
16K, End, 78, 0.0428899
16K, End, 79, 0.0430666
16K, End, 80, 0.0429046
16K, End, 81, 0.0428704
16K, End, 82, 0.0433404
16K, End, 83, 0.0431218
16K, End, 84, 0.0427532
16K, End, 85, 0.0427933
16K, End, 86, 0.0428844
16K, End, 87, 0.0427669
16K, End, 88, 0.043203
16K, End, 89, 0.0427894
16K, End, 90, 0.04276
16K, End, 91, 0.0427727
16K, End, 92, 0.0427707
16K, End, 93, 0.0430697
16K, End, 94, 0.0427921
16K, End, 95, 0.0428425
16K, End, 96, 0.0428073
16K, End, 97, 0.0428716
16K, End, 98, 0.0429635
16K, End, 99, 0.0428662
16K, End, 100, 0.0428482
32K, End, 1, 0.0860233
32K, End, 2, 0.0857938
32K, End, 3, 0.0857356
32K, End, 4, 0.0856836
32K, End, 5, 0.0857158
32K, End, 6, 0.0856953
32K, End, 7, 0.0860094
32K, End, 8, 0.0858052
32K, End, 9, 0.0856639
32K, End, 10, 0.0857741
32K, End, 11, 0.0855225
32K, End, 12, 0.0857269
32K, End, 13, 0.0857129
32K, End, 14, 0.0858934
32K, End, 15, 0.0857246
32K, End, 16, 0.0856358
32K, End, 17, 0.0857498
32K, End, 18, 0.0855341
32K, End, 19, 0.0856404
32K, End, 20, 0.0856435
32K, End, 21, 0.0856881
32K, End, 22, 0.0857798
32K, End, 23, 0.0857582
32K, End, 24, 0.0858893
32K, End, 25, 0.0857974
32K, End, 26, 0.0860696
32K, End, 27, 0.0858421
32K, End, 28, 0.085637
32K, End, 29, 0.0856898
32K, End, 30, 0.0863062
32K, End, 31, 0.085861
32K, End, 32, 0.0858422
32K, End, 33, 0.0858883
32K, End, 34, 0.0859543
32K, End, 35, 0.0855756
32K, End, 36, 0.085752
32K, End, 37, 0.0860496
32K, End, 38, 0.0856408
32K, End, 39, 0.0856031
32K, End, 40, 0.0856784
32K, End, 41, 0.0860626
32K, End, 42, 0.085605
32K, End, 43, 0.0857512
32K, End, 44, 0.085648
32K, End, 45, 0.0859669
32K, End, 46, 0.085554
32K, End, 47, 0.0855441
32K, End, 48, 0.0856434
32K, End, 49, 0.0856663
32K, End, 50, 0.0856194
32K, End, 51, 0.0856322
32K, End, 52, 0.0857613
32K, End, 53, 0.0856926
32K, End, 54, 0.085893
32K, End, 55, 0.085746
32K, End, 56, 0.0858624
32K, End, 57, 0.0857165
32K, End, 58, 0.0861735
32K, End, 59, 0.085769
32K, End, 60, 0.08558
32K, End, 61, 0.0857635
32K, End, 62, 0.085664
32K, End, 63, 0.0856251
32K, End, 64, 0.0856659
32K, End, 65, 0.0860447
32K, End, 66, 0.0859381
32K, End, 67, 0.0855155
32K, End, 68, 0.0856399
32K, End, 69, 0.085853
32K, End, 70, 0.0857126
32K, End, 71, 0.0856797
32K, End, 72, 0.085625
32K, End, 73, 0.0856955
32K, End, 74, 0.0856015
32K, End, 75, 0.0860466
32K, End, 76, 0.0857005
32K, End, 77, 0.08557
32K, End, 78, 0.0861546
32K, End, 79, 0.0861715
32K, End, 80, 0.0862195
32K, End, 81, 0.0855792
32K, End, 82, 0.0856368
32K, End, 83, 0.0856266
32K, End, 84, 0.0856644
32K, End, 85, 0.0860783
32K, End, 86, 0.0856533
32K, End, 87, 0.0856854
32K, End, 88, 0.0855339
32K, End, 89, 0.0858793
32K, End, 90, 0.0855748
32K, End, 91, 0.0856616
32K, End, 92, 0.0857478
32K, End, 93, 0.08556
32K, End, 94, 0.0856596
32K, End, 95, 0.0857825
32K, End, 96, 0.0859125
32K, End, 97, 0.0856319
32K, End, 98, 0.085692
32K, End, 99, 0.0860874
32K, End, 100, 0.086196
