JOBID=28568
Size, Timepoint Index, Time
8K, End, 44, 6.539e-06
8K, End, 45, 6.409e-06
8K, End, 46, 6.543e-06
8K, End, 47, 6.516e-06
8K, End, 48, 6.452e-06
8K, End, 49, 6.625e-06
8K, End, 50, 6.478e-06
8K, End, 51, 6.501e-06
8K, End, 52, 6.454e-06
8K, End, 53, 6.504e-06
8K, End, 54, 6.556e-06
8K, End, 55, 6.574e-06
8K, End, 56, 6.529e-06
8K, End, 57, 6.488e-06
8K, End, 58, 6.394e-06
8K, End, 59, 6.469e-06
8K, End, 60, 6.375e-06
8K, End, 61, 6.433e-06
8K, End, 62, 6.495e-06
8K, End, 63, 6.43e-06
8K, End, 64, 6.429e-06
8K, End, 65, 6.394e-06
8K, End, 66, 6.321e-06
8K, End, 67, 6.433e-06
8K, End, 68, 6.279e-06
8K, End, 69, 6.42e-06
8K, End, 70, 6.571e-06
8K, End, 71, 6.418e-06
8K, End, 72, 6.438e-06
8K, End, 73, 6.379e-06
8K, End, 74, 6.346e-06
8K, End, 75, 6.497e-06
8K, End, 76, 6.434e-06
8K, End, 77, 6.529e-06
8K, End, 78, 6.39e-06
8K, End, 79, 6.465e-06
8K, End, 80, 6.427e-06
8K, End, 81, 6.432e-06
8K, End, 82, 6.389e-06
8K, End, 83, 6.402e-06
8K, End, 84, 6.398e-06
8K, End, 85, 6.422e-06
8K, End, 86, 6.44e-06
8K, End, 87, 6.302e-06
8K, End, 88, 6.396e-06
8K, End, 89, 6.433e-06
8K, End, 90, 6.463e-06
8K, End, 91, 6.377e-06
8K, End, 92, 6.611e-06
8K, End, 93, 6.352e-06
8K, End, 94, 6.438e-06
8K, End, 95, 6.394e-06
8K, End, 96, 6.494e-06
8K, End, 97, 6.415e-06
8K, End, 98, 6.357e-06
8K, End, 99, 6.411e-06
8K, End, 100, 6.449e-06
16K, End, 1, 1.3791e-05
16K, End, 2, 1.3489e-05
16K, End, 3, 1.374e-05
16K, End, 4, 1.3436e-05
16K, End, 5, 1.35e-05
16K, End, 6, 1.3573e-05
16K, End, 7, 1.3868e-05
16K, End, 8, 1.3709e-05
16K, End, 9, 1.3805e-05
16K, End, 10, 1.3817e-05
16K, End, 11, 1.3777e-05
16K, End, 12, 1.3578e-05
16K, End, 13, 1.6124e-05
16K, End, 14, 1.353e-05
16K, End, 15, 1.37e-05
16K, End, 16, 1.3705e-05
16K, End, 17, 1.3812e-05
16K, End, 18, 1.3831e-05
16K, End, 19, 1.3819e-05
16K, End, 20, 1.3478e-05
16K, End, 21, 1.3572e-05
16K, End, 22, 1.37e-05
16K, End, 23, 1.3576e-05
16K, End, 24, 1.3579e-05
16K, End, 25, 1.346e-05
16K, End, 26, 1.3211e-05
16K, End, 27, 1.3522e-05
16K, End, 28, 1.3554e-05
16K, End, 29, 1.3337e-05
16K, End, 30, 1.3322e-05
16K, End, 31, 1.3591e-05
16K, End, 32, 1.3314e-05
16K, End, 33, 1.3703e-05
16K, End, 34, 1.3688e-05
16K, End, 35, 1.3532e-05
16K, End, 36, 1.3313e-05
16K, End, 37, 1.3398e-05
16K, End, 38, 1.3366e-05
16K, End, 39, 1.361e-05
16K, End, 40, 1.3255e-05
16K, End, 41, 1.3323e-05
16K, End, 42, 1.3342e-05
16K, End, 43, 1.3747e-05
16K, End, 44, 1.3639e-05
16K, End, 45, 1.3637e-05
16K, End, 46, 1.3198e-05
16K, End, 47, 1.3328e-05
16K, End, 48, 1.3428e-05
16K, End, 49, 1.3838e-05
16K, End, 50, 1.3514e-05
16K, End, 51, 1.3648e-05
16K, End, 52, 1.3406e-05
16K, End, 53, 1.3515e-05
16K, End, 54, 1.3411e-05
16K, End, 55, 1.3985e-05
16K, End, 56, 1.3768e-05
16K, End, 57, 1.3277e-05
16K, End, 58, 1.3593e-05
16K, End, 59, 1.349e-05
