JOBID=30313
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/non-contiguous/upcxx_rput_non_contiguous --chunk-size 4 --in-stride 8 --out-inter-chunk-stride 8 --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Total-size, Chunk-size, Chunks-per-rank, In-stride, Size-per-rank, Out-inter-chunk-stride, Out-inter-rank-stride, Timepoint, Index, Time
0, 8, 4, 1, 8, 4, 8, 12, End, 167, 1.333e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 168, 1.345e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 169, 1.294e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 170, 1.338e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 171, 1.443e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 172, 1.316e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 173, 1.345e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 174, 1.347e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 175, 1.533e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 176, 1.465e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 177, 1.421e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 178, 1.423e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 179, 4.194e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 180, 1.287e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 181, 1.318e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 182, 1.339e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 183, 1.347e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 184, 1.345e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 185, 1.321e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 186, 1.28e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 187, 1.496e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 188, 1.345e-06
0, 8, 4, 1, 8, 4, 8, 12, End, 189, 1.337e-06
